university,major,error
Central Arizona College,"Foods, Nutrition, and Related Services, Other",
Central Arizona College,"Foods, Nutrition, and Wellness Studies, General",
Central Arizona College,Health Professions and Related Programs,
Central Arizona College,Athletic Training/Trainer,
Central Arizona College,Clinical Nutrition/Nutritionist,
Central Arizona College,Clinical/Medical Laboratory Assistant,
Central Arizona College,Clinical/Medical Laboratory Technician,
Central Arizona College,Community Health and Preventive Medicine,
Central Arizona College,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,
Central Arizona College,Dietetic Technician,
Central Arizona College,Dietetics/Dietitian,
Central Arizona College,Emergency Medical Technology/Technician (EMT Paramedic),
Central Arizona College,Health Information/Medical Records Administration/Administrator,
Central Arizona College,Licensed Practical/Vocational Nurse Training,
Central Arizona College,Massage Therapy/Therapeutic Massage,
Central Arizona College,Medical Administrative/Executive Assistant and Medical Secretary,
Central Arizona College,Medical Insurance Coding Specialist/Coder,
Central Arizona College,Medical Insurance Specialist/Medical Biller,
Central Arizona College,Medical Transcription/Transcriptionist,
Central Arizona College,Medical/Clinical Assistant,
Central Arizona College,Pharmacy Technician/Assistant,
Central Arizona College,Phlebotomy Technician/Phlebotomist,
Central Arizona College,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",
Central Arizona College,Radiologic Technology/Science - Radiographer,
Central Arizona College,Registered Nursing/Registered Nurse,
Central Arizona College,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",
Central Arizona College,Corrections,
Central Arizona College,Criminal Justice/Safety Studies,
Central Arizona College,Fire Prevention and Safety Technology/Technician,
Central Arizona College,Fire Science/Fire-fighting,
Central Arizona College,"Liberal Arts and Sciences, General Studies and Humanities",
Central Arizona College,General Studies,
Central Arizona College,Liberal Arts and Sciences/Liberal Studies,
Central Arizona College,Mechanic and Repair Technologies/Technicians,
Central Arizona College,Automobile/Automotive Mechanics Technology/Technician,
Central Arizona College,Diesel Mechanics Technology/Technician,
Central Arizona College,Industrial Mechanics and Maintenance Technology/Technician,
Central Arizona College,Military Technologies and Applied Sciences,
Central Arizona College,Cyber/Electronic Operations and Warfare,
Central Arizona College,Multi/Interdisciplinary Studies,
Central Arizona College,Accounting and Computer Science,
Central Arizona College,Biological and Physical Sciences,
Central Arizona College,"Parks, Recreation, Leisure, Fitness, and Kinesiology",
Central Arizona College,"Parks, Recreation, and Leisure Facilities Management, General",
Central Arizona College,"Parks, Recreation, and Leisure Studies",
Central Arizona College,"Sports, Kinesiology, and Physical Education/Fitness, General",
Central Arizona College,Physical Sciences,
Central Arizona College,"Chemistry, General",
Central Arizona College,"Geology/Earth Science, General",
Central Arizona College,Precision Production,
Central Arizona College,Upholstery/Upholsterer,
Central Arizona College,Welding Technology/Welder,
Central Arizona College,Public Administration and Social Service Professions,
Central Arizona College,Public Administration,
